Time Step,Label Index,Name (NA),Voxel count,Volume (nm³),Center Of Mass Index Z,Feret Max (nm),Sphericity,Cross-Indexing,,,,Label Index (from 251224-airway-measurements-MCC-MCC-border1),Name (NA) (from 251224-airway-measurements-MCC-MCC-border1),Center Of Mass Index Z (from 251224-airway-measurements-MCC-MCC-border1),,
0,1,251214-Air ROI 187,26,26000,389,57.44546668,0.953140114,9,,,,1,251214-Air ROI 208,538,,
0,2,251214-Air ROI 187,31,31000,388,73.48373156,0.809134065,9,,,,2,251214-Air ROI 207,399,,
0,3,251214-Air ROI 76,38,38000,442,69.99677611,0.882730665,33,,,,3,251214-Air ROI 194,286,,
0,4,251214-Air ROI 184,44,44000,499,67.04842223,0.900570847,12,,,,4,251214-Air ROI 192,394,,
0,5,251214-Air ROI 89,46,46000,485,67.08136887,0.949608141,22,,,,5,251214-Air ROI 191,304,,
0,6,251214-Air ROI 74,46,46000,413,85.43948411,0.846472613,35,,,,6,251214-Air ROI 190,333,,
0,7,251214-Air ROI 188,50,50000,384,78.09488223,0.806169506,8,,,,7,251214-Air ROI 189,339,,
0,8,251214-Air ROI 194,53,53000,285,78.08006216,0.87129959,3,,,,8,251214-Air ROI 188,384,,
0,9,251214-Air ROI 190,54,54000,334,74.82406002,0.926768951,6,,,,9,251214-Air ROI 187,388,,
0,10,251214-Air ROI 184,54,54000,498,94.84217731,0.757678794,12,,,,10,251214-Air ROI 186,435,,
0,11,251214-Air ROI 74,56,56000,413,86.01852261,0.748986925,35,,,,11,251214-Air ROI 185,477,,
0,12,251214-Air ROI 190,56,56000,332,94.84200625,0.795366769,6,,,,12,251214-Air ROI 184,499,,
0,13,251214-Air ROI 208,60,60000,540,72.78315694,0.922967739,1,,,,13,251214-Air ROI 183,552,,
0,14,251214-Air ROI 71,62,62000,327,74.8241195,0.908116846,38,,,,14,251214-Air ROI 182,714,,
0,15,251214-Air ROI 106,62,62000,391,103.4406193,0.783411486,18,,,,15,251214-Air ROI 171,517,,
0,16,251214-Air ROI 89,63,63000,485,67.08154143,0.920017112,22,,,,16,251214-Air ROI 165,490,,
0,17,251214-Air ROI 104,64,64000,443,83.64514464,0.863596033,19,,,,17,251214-Air ROI 142,608,,
0,18,251214-Air ROI 106,65,65000,392,83.63489197,0.887355004,18,,,,18,251214-Air ROI 106,392,,
0,19,251214-Air ROI 186,68,68000,435,81.23929514,0.88467991,10,,,,19,251214-Air ROI 104,443,,
0,20,251214-Air ROI 188,68,68000,384,94.33941708,0.83743298,8,,,,20,251214-Air ROI 91,533,,
0,21,251214-Air ROI 186,69,69000,434,80.594606,0.890964539,10,,,,21,251214-Air ROI 90,627,,
0,22,251214-Air ROI 68,70,70000,310,76.80416057,0.898705798,41,,,,22,251214-Air ROI 89,485,,
0,23,251214-Air ROI 68,71,71000,312,78.73679472,0.864680897,41,,,,23,251214-Air ROI 88,663,,
0,24,251214-Air ROI 192,72,72000,394,78.72886658,0.85530846,4,,,,24,251214-Air ROI 85,719,,
0,25,251214-Air ROI 76,72,72000,442,77.92126435,0.898423226,33,,,,25,251214-Air ROI 84,709,,
0,26,251214-Air ROI 71,73,73000,326,83.64471578,0.897236056,38,,,,26,251214-Air ROI 83,691,,
0,27,251214-Air ROI 70,76,76000,511,87.7465124,0.872259895,39,,,,27,251214-Air ROI 82,667,,
0,28,251214-Air ROI 185,78,78000,477,91.6398306,0.811968398,11,,,,28,251214-Air ROI 81,648,,
0,29,251214-Air ROI 185,81,81000,477,80.5091768,0.837773138,11,,,,29,251214-Air ROI 80,526,,
0,30,251214-Air ROI 194,83,83000,287,87.73645712,0.874174033,3,,,,30,251214-Air ROI 79,508,,
0,31,251214-Air ROI 165,84,84000,490,80.50985547,0.899563826,16,,,,31,251214-Air ROI 78,494,,
0,32,251214-Air ROI 104,89,89000,443,89.99590921,0.927833982,19,,,,32,251214-Air ROI 77,464,,
0,33,251214-Air ROI 69,92,92000,312,86.59805253,0.890114775,40,,,,33,251214-Air ROI 76,442,,
0,34,251214-Air ROI 70,99,99000,509,89.44161017,0.869222113,39,,,,34,251214-Air ROI 75,432,,
0,35,251214-Air ROI 207,100,100000,399,94.23604232,0.84961218,2,,,,35,251214-Air ROI 74,413,,
0,36,251214-Air ROI 207,100,100000,399,85.43948411,0.861513045,2,,,,36,251214-Air ROI 73,366,,
0,37,251214-Air ROI 165,101,101000,490,87.15653256,0.919036596,16,,,,37,251214-Air ROI 72,322,,
0,38,251214-Air ROI 191,101,101000,304,103.3521086,0.88732128,5,,,,38,251214-Air ROI 71,326,,
0,39,251214-Air ROI 171,104,104000,516,88.31143479,0.926117823,15,,,,39,251214-Air ROI 70,510,,
0,40,251214-Air ROI 208,105,105000,538,82.93646926,0.926501079,1,,,,40,251214-Air ROI 69,314,,
0,41,251214-Air ROI 192,109,109000,394,94.84183519,0.877136336,4,,,,41,251214-Air ROI 68,311,,
0,42,251214-Air ROI 191,112,112000,305,81.20934388,0.940454727,5,,,,42,251214-Air ROI 67,308,,
0,43,251214-Air ROI 183,113,113000,552,80.61940428,0.886667994,13,,,,43,251214-Air ROI 66,298,,
0,44,251214-Air ROI 189,114,114000,339,98.48841089,0.79569405,7,,,,44,251214-Air ROI 65,280,,
0,45,251214-Air ROI 69,116,116000,315,103.9228994,0.835628483,40,,,,45,251214-Air ROI 64,288,,
0,46,251214-Air ROI 189,116,116000,339,96.95065998,0.851646743,7,,,,46,251214-Air ROI 63,285,,
0,47,251214-Air ROI 79,119,119000,511,102.941328,0.814682419,30,,,,47,251214-Air ROI 62,288,,
0,48,251214-Air ROI 171,128,128000,518,101.9607792,0.866333261,15,,,,48,251214-Air ROI 61,280,,
0,49,251214-Air ROI 83,131,131000,693,95.38946878,0.848753245,26,,,,49,251214-Air ROI 60,277,,
0,50,251214-Air ROI 183,139,139000,552,87.74654122,0.89917281,13,,,,50,251214-Air ROI 59,272,,
0,51,251214-Air ROI 182,148,148000,717,98.96868084,0.898153086,14,,,,51,251214-Air ROI 58,255,,
0,52,251214-Air ROI 67,156,156000,305,114.4540809,0.847371198,42,,,,52,251214-Air ROI 57,267,,
0,53,251214-Air ROI 65,167,167000,278,96.41261261,0.896075488,44,,,,53,251214-Air ROI 56,255,,
