Time Step,Label Index,Name (NA),Voxel count,Volume (nmÂ³),Aspect Ratio,Center Of Mass Index Z,Feret Min (nm),Feret Mean (nm),Feret Max (nm),Feret Min Ortho (nm),Feret Min Ortho/Max,3D Solidity (voxel-wise),Sphericity,Cross-Indexing,Center Of Mass Index Z_Sorted,Cell class_Sorted,,Name (NA)_SIMPLIFIED-NAME,Name (NA) (from 251215-airway-measurements.xlsx),Cell class,Label Index,Center Of Mass Index Z,,,MEDIAN MFD,MEDIAN SPHERICITY,MFD Range,,MATCHED_Elli.R1/R2,MATCHED_Elli.R1/R3,MATCHED_Elli.R2/R3
0,1,251214-DSM-Airway-s0-v19-ROI-193,18,18000,1.533690455,525,29.99968274,45.47769119,48.98878308,40.11729169,0.8189077,0.8125,0.954779311,18,524,MD,,251214-DSM-Airway-s0-v19-ROI-10,251214-DSM-Airway-s0-v19 ROI 10,MT,201,296,,DT,144.7928247,0.835337788,91.0880152821704 - 195.188695070978,,1.236,1.535,1.242
0,2,251214-DSM-Airway-s0-v19-ROI-46,23,23000,3.011898681,505,29.99968274,60.21934001,67.81508893,33.12196641,0.488415881,0.804347826,0.77674297,165,499,MM,,251214-DSM-Airway-s0-v19-ROI-100,251214-DSM-Airway-s0-v19 ROI 100,MG,111,375,,MD,115.0793641,0.882796667,48.9887830775064 - 305.891537965143,,1.757,2.94,1.673
0,3,251214-DSM-Airway-s0-v19-ROI-187,26,26000,1.703973295,389,30.0000238,51.68845689,57.44546668,36.3417128,0.632629777,0.842105263,0.953140114,24,388,MM,,251214-DSM-Airway-s0-v19-ROI-101,251214-DSM-Airway-s0-v19 ROI 101,MG,110,361,,MG,126.2842249,0.864687063,64.0062077969348 - 420.188005906189,,1.533,1.56,1.017
0,4,251214-DSM-Airway-s0-v19-ROI-187,31,31000,2.41049406,388,30.0000238,63.23273076,73.48373156,36.33254001,0.494429709,0.843137255,0.809134065,24,388,MM,,251214-DSM-Airway-s0-v19-ROI-102,251214-DSM-Airway-s0-v19 ROI 102,MG,109,355,,MM,118.7274217,0.86707481,57.4454666758611 - 460.997201692936,,1.462,2.661,1.82
0,5,251214-DSM-Airway-s0-v19-ROI-160,34,34000,1.726133359,516,35.35496516,51.15215652,64.0062078,38.1865825,0.596607483,0.886363636,0.956124859,51,517,MG,,251214-DSM-Airway-s0-v19-ROI-103,251214-DSM-Airway-s0-v19 ROI 103,MM,108,352,,MT,141.9486404,0.835538862,73.4653944758482 - 330.000034409749,,1.325,1.716,1.295
0,6,251214-DSM-Airway-s0-v19-ROI-76,38,38000,2.170873507,442,30.00013749,63.76002558,69.99677611,39.19819819,0.560000051,0.839285714,0.882730665,135,442,MM,,251214-DSM-Airway-s0-v19-ROI-104,251214-DSM-Airway-s0-v19 ROI 104,MM,107,443,,Combined,124.2730548,0.863676151,48.9887830775064 - 460.997201692936,,1.427,2.26,1.584
0,7,251214-DSM-Airway-s0-v19-ROI-157,39,39000,2.241920042,525,39.99957698,59.34483508,72.10049467,40.67724437,0.564174276,0.836065574,0.799897106,54,527,MG,,251214-DSM-Airway-s0-v19-ROI-105,251214-DSM-Airway-s0-v19 ROI 105,MM,106,355,,,,,,,1.555,2.147,1.381
0,8,251214-DSM-Airway-s0-v19-ROI-170,39,39000,2.590667798,546,30.00059223,61.44750277,72.78327113,39.45191158,0.54204642,0.827586207,0.846245374,41,544,MD,,251214-DSM-Airway-s0-v19-ROI-106,251214-DSM-Airway-s0-v19 ROI 106,MM,105,392,,,,,,,1.79,2.268,1.267
0,9,251214-DSM-Airway-s0-v19-ROI-44,43,43000,2.527748877,494,36.78550566,66.99453225,83.61408935,40.17070581,0.480429867,0.85,0.829918774,167,492,MD,,251214-DSM-Airway-s0-v19-ROI-107,251214-DSM-Airway-s0-v19 ROI 107,MM,104,363,,,,,,,1.714,2.294,1.338
0,10,251214-DSM-Airway-s0-v19-ROI-184,44,44000,1.679097219,499,40.00003173,54.15156062,67.04842223,44.79355873,0.668077745,0.924528302,0.900570847,27,499,MM,,251214-DSM-Airway-s0-v19-ROI-108,251214-DSM-Airway-s0-v19 ROI 108,MM,103,387,,,,,,,1.24,1.734,1.398
0,11,251214-DSM-Airway-s0-v19-ROI-74,46,46000,3.006926368,413,40.00003173,70.98584044,85.43948411,41.17981824,0.481976438,0.830769231,0.846472613,137,413,MM,,251214-DSM-Airway-s0-v19-ROI-109,251214-DSM-Airway-s0-v19 ROI 109,MM,102,398,,,,,,,2.074,2.375,1.145
0,12,251214-DSM-Airway-s0-v19-ROI-89,46,46000,1.651403731,485,40.00003173,56.68209843,67.08136887,48.31661973,0.72026884,0.93877551,0.949608141,122,485,MM,,251214-DSM-Airway-s0-v19-ROI-11,251214-DSM-Airway-s0-v19 ROI 11,MT,200,298,,,,,,,1.406,1.57,1.116
0,13,251214-DSM-Airway-s0-v19-ROI-169,49,49000,1.572518324,536,39.99957698,59.44565594,64.79609925,46.66188535,0.720134173,0.862068966,0.936568557,42,535,MD,,251214-DSM-Airway-s0-v19-ROI-110,251214-DSM-Airway-s0-v19 ROI 110,MM,101,404,,,,,,,1.343,1.518,1.131
0,14,251214-DSM-Airway-s0-v19-ROI-188,50,50000,2.14593395,384,40.00003173,68.02881059,78.09488223,40.29021098,0.515913589,0.897058824,0.806169506,23,384,MM,,251214-DSM-Airway-s0-v19-ROI-111,251214-DSM-Airway-s0-v19 ROI 111,MM,100,417,,,,,,,1.463,2.15,1.47
0,15,251214-DSM-Airway-s0-v19-ROI-194,53,53000,1.976706636,285,30.00013749,63.97616971,78.08006216,39.17212088,0.501691723,0.931034483,0.87129959,17,286,MM,,251214-DSM-Airway-s0-v19-ROI-112,251214-DSM-Airway-s0-v19 ROI 112,MM,99,432,,,,,,,1.199,2.484,2.073
0,16,251214-DSM-Airway-s0-v19-ROI-184,54,54000,3.592926935,498,40.00003173,74.93976414,94.84217731,44.88160348,0.473224095,0.846153846,0.757678794,27,499,MM,,251214-DSM-Airway-s0-v19-ROI-113,251214-DSM-Airway-s0-v19 ROI 113,MM,98,453,,,,,,,2.412,2.546,1.055
0,17,251214-DSM-Airway-s0-v19-ROI-190,54,54000,1.934517198,334,39.99991804,67.2503053,74.82406002,40.88531868,0.546419409,0.885245902,0.926768951,21,333,MM,,251214-DSM-Airway-s0-v19-ROI-114,251214-DSM-Airway-s0-v19 ROI 114,MM,97,451,,,,,,,1.559,1.773,1.138
0,18,251214-DSM-Airway-s0-v19-ROI-74,56,56000,3.259365874,413,44.35000099,66.40006413,86.01852261,50.73486619,0.589813271,0.819277108,0.748986925,137,413,MM,,251214-DSM-Airway-s0-v19-ROI-115,251214-DSM-Airway-s0-v19 ROI 115,MM,96,491,,,,,,,2.176,2.497,1.147
0,19,251214-DSM-Airway-s0-v19-ROI-190,56,56000,2.841431799,332,42.4266013,75.74514495,94.84200625,45.95035179,0.484493671,0.866666667,0.795366769,21,333,MM,,251214-DSM-Airway-s0-v19-ROI-116,251214-DSM-Airway-s0-v19 ROI 116,MM,95,505,,,,,,,2.075,2.228,1.074
