Source.Name,Time Step,Label Index,Name (NA)_hole,Voxel count,Volume (nm³),Feret Max (nm),3D Solidity (voxel-wise),Part of hole or tunnel
260501-C-S1-DSM-hole-measurements-ind_AB.csv,0,9,C_hole-260419-FINAL DSM7_B1,13,942.76,23.8726271,0.724988221,C_hole-260419-FINAL DSM7_B1_H4
260501-C-S1-DSM-hole-measurements-ind_AB.csv,0,2,C_hole-260419-FINAL DSM2_A1,20,1450.4,26.50006097,0.812951409,C_hole-260419-FINAL DSM2_A1_H1
260501-C-S1-DSM-hole-measurements-ind_AB.csv,0,1,C_hole-260419-FINAL DSM1_B1,38,2755.76,36.0878195,0.836753759,C_hole-260419-FINAL DSM1_B1_H1
260501-A-S1-Left-DSM-hole-measurements-ind_AB.csv,0,2,A_left-hole-260419-FINAL DSM2_A1,29,2103.08,37.24572167,0.786708353,A_left-hole-260419-FINAL DSM2_A1_H1
260501-A-S1-Right-DSM-hole-measurements-ind_AB.csv,0,1,A_right-hole-260419-FINAL DSM1_A6,6233,452017.16,208.4548265,0.985505551,A_right-hole-260419-FINAL DSM1_A6_T1
260501-A-S1-Left-DSM-hole-measurements-ind_AB.csv,0,4,A_left-hole-260419-FINAL DSM4_A1,65,4713.8,39.39638665,0.833997587,A_left-hole-260419-FINAL DSM4_A1_H1
260501-C-S1-DSM-hole-measurements-ind_AB.csv,0,5,C_hole-260419-FINAL DSM5_A1,95,6889.4,43.57617732,0.846900137,C_hole-260419-FINAL DSM5_A1_H1
260501-C-S1-DSM-hole-measurements-ind_AB.csv,0,7,C_hole-260419-FINAL DSM7_A2,131,9500.12,44.61017132,0.897727378,C_hole-260419-FINAL DSM7_A2_H2
260501-A-S1-Right-DSM-hole-measurements-ind_AB.csv,0,2,A_right-hole-260419-FINAL DSM1_A5,5933,430261.16,245.4502658,0.89205471,A_right-hole-260419-FINAL DSM1_A5_T2
260501-MA-DSM-hole-measurements-ind_AB.csv,0,2,MA-hole-260419-FINAL DSM1_B2,61,15250,53.12718438,0.887096774,MA-hole-260419-FINAL DSM1_B2_T1
260501-C-S1-DSM-hole-measurements-ind_AB.csv,0,8,C_hole-260419-FINAL DSM7_A1,103,7469.56,57.99041298,0.850881388,C_hole-260419-FINAL DSM7_A1_H3
260501-C-S1-DSM-hole-measurements-ind_AB.csv,0,11,C_hole-260419-FINAL DSM8_B1,188,13633.76,59.53173292,0.915399772,C_hole-260419-FINAL DSM8_B1_H2
260501-A-S1-Right-DSM-hole-measurements-ind_AB.csv,0,3,A_right-hole-260419-FINAL DSM1_B5,5459,395886.68,263.8392277,0.887825453,A_right-hole-260419-FINAL DSM1_B5_T1
260501-MA-DSM-hole-measurements-ind_AB.csv,0,3,MA-hole-260419-FINAL DSM1_B1,53,13250,63.31915939,0.788321168,MA-hole-260419-FINAL DSM1_B1_H1
260501-A-S1-Right-DSM-hole-measurements-ind_AB.csv,0,4,A_right-hole-260419-FINAL DSM1_B4,5061,367023.72,243.3010437,0.951342925,A_right-hole-260419-FINAL DSM1_B4_T2
260501-C-S1-DSM-hole-measurements-ind_AB.csv,0,4,C_hole-260419-FINAL DSM4_A1,275,19943,64.9438174,0.858587426,C_hole-260419-FINAL DSM4_A1_H2
260501-A-S1-Left-DSM-hole-measurements-ind_AB.csv,0,3,A_left-hole-260419-FINAL DSM3_B1,225,16317,70.44821864,0.946129492,A_left-hole-260419-FINAL DSM3_B1_H1
260501-C-S1-DSM-hole-measurements-ind_AB.csv,0,6,C_hole-260419-FINAL DSM7_B2,328,23786.56,73.94598985,0.892099293,C_hole-260419-FINAL DSM7_B2_H1
260501-MA-DSM-hole-measurements-ind_AB.csv,0,1,MA-hole-260419-FINAL DSM1_A1,163,40750,83.78560295,0.804347826,MA-hole-260419-FINAL DSM1_A1_T1
260501-A-S1-Left-DSM-hole-measurements-ind_AB.csv,0,1,A_left-hole-260419-FINAL DSM1_B1,479,34737.08,84.08824889,0.993023989,A_left-hole-260419-FINAL DSM1_B1_H1
260501-A-S1-Right-DSM-hole-measurements-ind_AB.csv,0,5,A_right-hole-260419-FINAL DSM1_A4,4258,308790.16,331.7097872,0.849615992,A_right-hole-260419-FINAL DSM1_A4_T4
260501-C-S1-DSM-hole-measurements-ind_AB.csv,0,10,C_hole-260419-FINAL DSM8_B2,253,18347.56,109.0913685,0.780112016,C_hole-260419-FINAL DSM8_B2_H1
260501-A-S1-Right-DSM-hole-measurements-ind_AB.csv,0,6,A_right-hole-260419-FINAL DSM1_B6,2765,200517.8,219.968744,0.896146186,A_right-hole-260419-FINAL DSM1_B6_T4
260501-C-S1-DSM-hole-measurements-ind_AB.csv,0,3,C_hole-260419-FINAL DSM4_A2,596,43221.92,177.2175654,0.679205196,C_hole-260419-FINAL DSM4_A2_H1
260501-A-S1-Right-DSM-hole-measurements-ind_AB.csv,0,7,A_right-hole-260419-FINAL DSM1_B3,1605,116394.6,128.9377393,0.937327199,A_right-hole-260419-FINAL DSM1_B3_T3
260501-A-S1-Right-DSM-hole-measurements-ind_AB.csv,0,8,A_right-hole-260419-FINAL DSM1_A3,203,14721.56,64.5351681,0.798699964,A_right-hole-260419-FINAL DSM1_A3_H2
260501-A-S1-Right-DSM-hole-measurements-ind_AB.csv,0,9,A_right-hole-260419-FINAL DSM1_B2,177,12836.04,97.34893512,0.779103838,A_right-hole-260419-FINAL DSM1_B2_H3
260501-A-S1-Right-DSM-hole-measurements-ind_AB.csv,0,10,A_right-hole-260419-FINAL DSM1_A2,110,7977.2,60.72845945,0.807701814,A_right-hole-260419-FINAL DSM1_A2_T3
260501-A-S1-Right-DSM-hole-measurements-ind_AB.csv,0,11,A_right-hole-260419-FINAL DSM1_B1,56,4061.12,51.2792301,0.794250416,A_right-hole-260419-FINAL DSM1_B1_H4
260501-A-S1-Right-DSM-hole-measurements-ind_AB.csv,0,12,A_right-hole-260419-FINAL DSM1_A1,39,2828.28,37.473285,0.804873332,A_right-hole-260419-FINAL DSM1_A1_H1
