Source.Name,Time Step,Label Index,Name (NA)_hole,Voxel count,Volume (nm³),Feret Max (nm),3D Solidity (voxel-wise)
260501-DSM2-NKB_DSM-hole_measurements-ind_AB.csv,0,1,DSM2-NKB-hole-DSM2_B1,30,15360,47.32149802,0.895833333
260501-DSM2-NKB_DSM-hole_measurements-ind_AB.csv,0,2,DSM2-NKB-hole-DSM7_A8,327,167424,172.4383143,0.959143969
260501-DSM2-NKB_DSM-hole_measurements-ind_AB.csv,0,3,DSM2-NKB-hole-DSM7_B2,161,82432,131.2035098,0.895470383
260501-DSM2-NKB_DSM-hole_measurements-ind_AB.csv,0,4,DSM2-NKB-hole-DSM7_A7,64,32768,111.3906384,0.827586207
260501-DSM2-NKB_DSM-hole_measurements-ind_AB.csv,0,5,DSM2-NKB-hole-DSM7_A6,52,26624,90.85044627,0.9
260501-DSM2-NKB_DSM-hole_measurements-ind_AB.csv,0,6,DSM2-NKB-hole-DSM7_B1,29,14848,47.98789418,0.914893617
260501-DSM2-NKB_DSM-hole_measurements-ind_AB.csv,0,7,DSM2-NKB-hole-DSM7_A5,23,11776,62.33708691,0.823529412
260501-DSM2-NKB_DSM-hole_measurements-ind_AB.csv,0,8,DSM2-NKB-hole-DSM7_A4,18,9216,56.96106465,0.906976744
260501-DSM2-NKB_DSM-hole_measurements-ind_AB.csv,0,9,DSM2-NKB-hole-DSM7_A3,17,8704,58.78753792,0.823529412
260501-DSM2-NKB_DSM-hole_measurements-ind_AB.csv,0,10,DSM2-NKB-hole-DSM7_A2,12,6144,46.6411441,0.794117647
260501-DSM2-NKB_DSM-hole_measurements-ind_AB.csv,0,11,DSM2-NKB-hole-DSM7_A1,4,2048,29.93105164,0.9
260501-DSM2-NKB_DSM-hole_measurements-ind_AB.csv,0,12,DSM2-NKB-hole-DSM9_A2,146,74752,154.5590265,0.794964029
260501-DSM2-NKB_DSM-hole_measurements-ind_AB.csv,0,13,DSM2-NKB-hole-DSM9_B3,113,57856,126.2150037,0.803108808
260501-DSM2-NKB_DSM-hole_measurements-ind_AB.csv,0,14,DSM2-NKB-hole-DSM9_B2,22,11264,58.23506154,0.869565217
260501-DSM2-NKB_DSM-hole_measurements-ind_AB.csv,0,15,DSM2-NKB-hole-DSM9_A1,18,9216,56.54965692,0.833333333
260501-DSM2-NKB_DSM-hole_measurements-ind_AB.csv,0,16,DSM2-NKB-hole-DSM9_B1,10,5120,37.5226312,0.857142857
260501-DSM2-NKB_DSM-hole_measurements-ind_AB.csv,0,17,DSM2-NKB-hole-DSM17_B1,85,43520,73.22725785,0.885714286
260501-DSM2-NKB_DSM-hole_measurements-ind_AB.csv,0,18,DSM2-NKB-hole-DSM17_A1,36,18432,57.68818247,0.890909091
