Source.Name,Time Step,Label Index,Name (NA),Name (NA)_match,Voxel count,Volume (nm³),Feret Max (nm),3D Solidity (voxel-wise),Holes_and_tunnels,Shapes,Corrected length,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3
260501-A-S1-Left-DSM-measurements-ind_AB.csv,0,2,A_left-DSM1,A_left-260419-FINAL DSM1_A,86381,6264350.12,523.0750623,0.990687049,1,Ovoid,523.0750623,1.307,4.307,3.294
260501-A-S1-Left-DSM-measurements-ind_AB.csv,0,1,A_left-DSM1,A_left-260419-FINAL DSM1_B,89708,6505624.16,550.619542,0.970571351,1,Ovoid,550.619542,1.396,5.019,3.596
260501-A-S1-Left-DSM-measurements-ind_AB.csv,0,4,A_left-DSM2,A_left-260419-FINAL DSM2_A,27629,2003655.08,447.7731723,1.011665414,1,Ovoid,447.7731723,1.733,7.876,4.546
260501-A-S1-Left-DSM-measurements-ind_AB.csv,0,3,A_left-DSM2,A_left-260419-FINAL DSM2_B,28840,2091476.8,459.9779775,0.989743099,1,Ovoid,459.9779775,2.148,7.973,3.712
260501-A-S1-Left-DSM-measurements-ind_AB.csv,0,6,A_left-DSM3,A_left-260419-FINAL DSM3_A,129685,9404756.2,780.4321503,0.951708934,1,Irregular,1178.39,2.175,3.359,1.544
260501-A-S1-Left-DSM-measurements-ind_AB.csv,0,5,A_left-DSM3,A_left-260419-FINAL DSM3_B,129875,9418535,799.1245509,0.876203648,1,Irregular,1229.84,2.028,3.153,1.555
260501-A-S1-Left-DSM-measurements-ind_AB.csv,0,8,A_left-DSM4,A_left-260419-FINAL DSM4_A,107788,7816785.76,621.4753131,1.050062078,1,Ovoid,621.4753131,1.263,6.214,4.921
260501-A-S1-Left-DSM-measurements-ind_AB.csv,0,7,A_left-DSM4,A_left-260419-FINAL DSM4_B,83192,6033083.84,618.4749189,0.989114689,1,Ovoid,618.4749189,1.176,6.029,5.126
260501-A-S1-Left-DSM-measurements-ind_AB.csv,0,10,A_left-DSM5,A_left-260419-FINAL DSM5_A,44984,3262239.68,489.525141,1.089850967,0,Elongated,489.525141,1.864,7.547,4.048
260501-A-S1-Left-DSM-measurements-ind_AB.csv,0,9,A_left-DSM5,A_left-260419-FINAL DSM5_B,49949,3622301.48,467.5887051,1.12963728,0,Elongated,467.5887051,1.756,7.334,4.177
260501-A-S1-Left-DSM-measurements-ind_AB.csv,0,12,A_left-DSM6,A_left-260419-FINAL DSM6_A,24240,1757884.8,359.1177525,1.011166377,0,Elongated,359.1177525,1.497,5.176,3.457
260501-A-S1-Left-DSM-measurements-ind_AB.csv,0,11,A_left-DSM6,A_left-260419-FINAL DSM6_B,22825,1655269,348.6091065,0.940506375,0,Elongated,348.6091065,2.024,4.106,2.029
260501-A-S1-Left-DSM-measurements-ind_AB.csv,0,14,A_left-DSM7,A_left-260419-FINAL DSM7_A,71168,5161103.36,554.8538003,1.198310651,0,Ovoid,554.8538003,1.456,8.08,5.551
260501-A-S1-Left-DSM-measurements-ind_AB.csv,0,13,A_left-DSM7,A_left-260419-FINAL DSM7_B,52470,3805124.4,548.725851,1.137535647,0,Ovoid,548.725851,1.639,9.367,5.717
260501-A-S1-Left-DSM-measurements-ind_AB.csv,0,16,A_left-DSM8,A_left-260419-FINAL DSM8_A,489598,35505646.96,2079.146345,0.918668789,0,Irregular,2963.25,3.351,21.795,6.505
260501-A-S1-Left-DSM-measurements-ind_AB.csv,0,15,A_left-DSM8,A_left-260419-FINAL DSM8_B,321430,23310103.6,2054.305335,0.833120573,0,Irregular,2891.07,3.439,24.334,7.077
260501-A-S1-Right-DSM-measurements-ind_AB.csv,0,3,A_right-DSM1,A_right-260419-FINAL DSM1_Aa,220753,16009007.56,1412.869918,0.857897819,3,Irregular,1770.63,2.931,11.638,3.971
260501-A-S1-Right-DSM-measurements-ind_AB.csv,0,1,A_right-DSM1,A_right-260419-FINAL DSM1_Ab,153057,11099693.64,990.7952479,0.890936957,3,Irregular,1342.35,1.639,14.397,8.783
260501-A-S1-Right-DSM-measurements-ind_AB.csv,0,2,A_right-DSM1,A_right-260419-FINAL DSM1_B,302165,21913005.8,1918.521579,0.740241069,3,Irregular,3219.83,2.958,16.249,5.494
260501-A-S1-Right-DSM-measurements-ind_AB.csv,0,5,A_right-DSM2,A_right-260419-FINAL DSM2_A,21778,1579340.56,383.634469,0.997344047,0,Elongated,383.634469,2.496,6.396,2.563
260501-A-S1-Right-DSM-measurements-ind_AB.csv,0,4,A_right-DSM2,A_right-260419-FINAL DSM2_B,23863,1730544.76,355.5979507,0.984382267,0,Elongated,355.5979507,1.8,6.248,3.471
260501-A-S1-Right-DSM-measurements-ind_AB.csv,0,7,A_right-DSM3,A_right-260419-FINAL DSM3_A,40542,2940105.84,677.9734921,0.785844696,0,Irregular,945.31,3.248,8.82,2.715
260501-A-S1-Right-DSM-measurements-ind_AB.csv,0,6,A_right-DSM3,A_right-260419-FINAL DSM3_B,44705,3242006.6,647.4104328,0.875964526,0,Irregular,885.19,2.888,8.144,2.82
260501-C-S1-DSM-measurements-ind_AB.csv,0,2,C-DSM1,C_260419-FINAL DSM1_A,38734,2808989.68,490.5300777,1.029286005,1,Elongated,490.5300777,1.794,10.462,5.832
