ID,lower quartile distance [nm]
DSM3-COMBINED-CM50-DSM00,53.51625404
DSM3-COMBINED-CM50-DSM01,48.82615782
DSM3-COMBINED-CM50-DSM02,39.29380122
DSM3-COMBINED-CM50-DSM03,46.73328782
DSM3-COMBINED-CM50-DSM04,44.18154293
DSM3-COMBINED-CM50-DSM05,46.73321971
DSM3-COMBINED-CM50-DSM06,48.82660021
DSM3-COMBINED-CM50-DSM07,45.51912495
DSM3-COMBINED-CM50-DSM08,44.89977842
DSM3-COMBINED-CM50-DSM09,48.33184212
DSM3-COMBINED-CM50-DSM10,50.04001826
DSM3-COMBINED-CM50-DSM11,42.04760165
DSM3-COMBINED-CM50-DSM12,50.35859156
DSM3-COMBINED-CM50-DSM13,47.07370125
DSM3-COMBINED-CM50-DSM14,46.64751178
DSM3-COMBINED-CM50-DSM15,54.33237234
DSM3-COMBINED-CM50-DSM16,55.71384544
DSM3-COMBINED-CM50-DSM17,52.99036523
DSM3-COMBINED-CM50-DSM18,48.24941228
DSM3-COMBINED-CM50-DSM19,51.4583627
DSM3-COMBINED-CM50-DSM20,47.24437542
DSM3-COMBINED-CM50-DSM21,51.99986985
DSM3-COMBINED-CM50-DSM22,49.8796746
DSM3-COMBINED-CM50-DSM23,47.58185641
DSM3-COMBINED-CM50-DSM24,49.55794478
DSM3-COMBINED-CM50-DSM25,50.75441852
DSM2-NKB-CM50-DSM1,28.28442231
DSM2-NKB-CM50-DSM10,44.89985944
DSM2-NKB-CM50-DSM11,28.70431307
DSM2-NKB-CM50-DSM12,28.28442231
DSM2-NKB-CM50-DSM13,36.22160946
DSM2-NKB-CM50-DSM14,23.99997356
DSM2-NKB-CM50-DSM15,33.94124889
DSM2-NKB-CM50-DSM16,27.71265112
DSM2-NKB-CM50-DSM17,25.92306581
DSM2-NKB-CM50-DSM18,31.49610268
DSM2-NKB-CM50-DSM19,20.39639747
DSM2-NKB-CM50-DSM2,22.62761984
DSM2-NKB-CM50-DSM20,28.28496091
DSM2-NKB-CM50-DSM21,37.09442495
DSM2-NKB-CM50-DSM22,44.18142971
DSM2-NKB-CM50-DSM23,45.25467696
DSM2-NKB-CM50-DSM24,32.4959499
DSM2-NKB-CM50-DSM25,35.43960966
DSM2-NKB-CM50-DSM26,39.49642516
DSM2-NKB-CM50-DSM27,41.56921735
DSM2-NKB-CM50-DSM28,39.59772176
DSM2-NKB-CM50-DSM29,38.78138051
DSM2-NKB-CM50-DSM3,22.62747916
DSM2-NKB-CM50-DSM30,52.1535211
DSM2-NKB-CM50-DSM31,36.66071403
DSM2-NKB-CM50-DSM32,28.84429435
DSM2-NKB-CM50-DSM33,40.39790772
DSM2-NKB-CM50-DSM34,28.28419722
DSM2-NKB-CM50-DSM35,33.94103452
DSM2-NKB-CM50-DSM36,25.29816945
DSM2-NKB-CM50-DSM37,31.49600884
DSM2-NKB-CM50-DSM38,26.53292339
DSM2-NKB-CM50-DSM4,32.98493735
DSM2-NKB-CM50-DSM5,22.62766004
DSM2-NKB-CM50-DSM6,24.65769033
DSM2-NKB-CM50-DSM7,32.00011633
DSM2-NKB-CM50-DSM9,34.87129224
DSM2-SEZ-CM50-DSM1,53.96294734
DSM2-SEZ-CM50-DSM10,29.93312484
DSM2-SEZ-CM50-DSM11,29.93376291
DSM2-SEZ-CM50-DSM12,29.93312484
DSM2-SEZ-CM50-DSM13,32.98497871
DSM2-SEZ-CM50-DSM14,35.77691265
DSM2-SEZ-CM50-DSM15,31.49591499
DSM2-SEZ-CM50-DSM16,37.09420429
DSM2-SEZ-CM50-DSM17,25.92286407
DSM2-SEZ-CM50-DSM18,32.00011633
DSM2-SEZ-CM50-DSM19,26.53278628
DSM2-SEZ-CM50-DSM2,32.98471676
DSM2-SEZ-CM50-DSM20,22.62782082
DSM2-SEZ-CM50-DSM21,25.92282899
DSM2-SEZ-CM50-DSM22,23.99989777
DSM2-SEZ-CM50-DSM23,35.32666987
DSM2-SEZ-CM50-DSM24,25.29967939
DSM2-SEZ-CM50-DSM25,34.40930722
DSM2-SEZ-CM50-DSM26,23.32356092
DSM2-SEZ-CM50-DSM27,28.28413291
DSM2-SEZ-CM50-DSM28,26.53312906
DSM2-SEZ-CM50-DSM29,28.28413291
DSM2-SEZ-CM50-DSM3,32.98477191
DSM2-SEZ-CM50-DSM30,28.28413291
DSM2-SEZ-CM50-DSM31,32.49622978
DSM2-SEZ-CM50-DSM4,21.90916876
DSM2-SEZ-CM50-DSM5,43.72598418
DSM2-SEZ-CM50-DSM6,29.39399924
DSM2-SEZ-CM50-DSM7,34.40930722
DSM2-SEZ-CM50-DSM8,33.94092733
DSM2-SEZ-CM50-DSM9,26.53307764
