ID,lower quartile distance [nm]
A_left-CM50-DSM1,44.36849136
A_left-CM50-DSM2,45.78629812
A_left-CM50-DSM3,42.76943508
A_left-CM50-DSM4,48.17293627
A_left-CM50-DSM5,44.28106934
A_left-CM50-DSM6,43.99743247
A_left-CM50-DSM7,35.44378758
A_left-CM50-DSM8,45.35422527
A_right-CM50-DSM1,55.48907777
A_right-CM50-DSM2,40.33803664
A_right-CM50-DSM3,39.10295248
C_CM50-DSM1,38.90142427
C_CM50-DSM2,38.1730786
C_CM50-DSM3,37.21564973
C_CM50-DSM4,47.71847124
C_CM50-DSM5,41.33889662
C_CM50-DSM6,42.17993661
C_CM50-DSM7,38.32754087
C_CM50-DSM8,45.70862662
MA-CM50-DSM1,47.03719998
MA-CM50-DSM2,42.42619936
MA-CM50-DSM3,48.98947402
MA-CM50-DSM4,60.05185873
